orden,a_o,barrio_poligono,categoria,comunas_poligonos,manzanas,personas,hombres,mujeres,edad_de_0_a_9,edad_de_10_a_19,edad_de_20_a_29,edad_de_30_a_39,edad_de_40_a_49,edad_de_50_a_59,edad_de_60_a_69,edad_de_70_a_79,edad_de_80_a_89
1,2021,BONANZA CAMPESTRE,A. RURAL,01. NORTE,14,566,287,279,104,97,108,118,77,34,18,6,4
2,2021,VILLA LINA,A. RURAL,01. NORTE,10,501,255,246,79,103,104,67,67,47,26,6,2
3,2021,BARRIO NUEVO,A. URBANO,01. NORTE,1,99,54,45,17,17,14,16,18,8,3,4,2
4,2021,BRISAS DE SURATA,A. URBANO,01. NORTE,2,160,79,81,26,28,37,16,21,17,7,6,2
5,2021,CAMINOS DE PAZ I,A. URBANO,01. NORTE,3,134,67,67,29,28,22,18,14,8,9,5,1
6,2021,CAMINOS DE PAZ II,A. URBANO,01. NORTE,1,17,8,9,1,6,0,4,4,2,0,0,0
7,2021,CERVUNION,A. URBANO,01. NORTE,9,238,106,132,62,38,45,32,23,21,10,6,1
8,2021,DIVINO NINO I,A. URBANO,01. NORTE,9,329,164,165,51,54,76,54,35,38,14,6,1
9,2021,DIVINO NINO II,A. URBANO,01. NORTE,1,47,26,21,7,7,7,6,6,10,4,0,0
10,2021,LUZ DE ESPERANZA,A. URBANO,01. NORTE,3,110,48,62,30,18,18,16,10,16,1,0,1
11,2021,ALTOS DEL KENNEDY,BARRIO,01. NORTE,6,529,250,279,76,88,106,71,60,71,34,19,4
12,2021,ALTOS DEL PROGRESO,BARRIO,01. NORTE,17,"1,187",605,582,221,208,236,179,145,118,48,26,6
13,2021,BALCONES DEL KENEDY,BARRIO,01. NORTE,18,"1,334",659,675,250,225,248,204,190,111,68,31,7
14,2021,BETANIA,BARRIO,01. NORTE,17,"1,664",841,823,222,225,355,248,211,246,117,28,12
15,2021,CAFE MADRID,BARRIO,01. NORTE,86,"9,517","4,756","4,761","1,786","1,880","1,865","1,373","1,114",740,474,228,57
16,2021,CAMPESTRE NORTE,BARRIO,01. NORTE,14,812,397,415,164,162,151,148,74,56,34,18,5
17,2021,CLAVERIANO,BARRIO,01. NORTE,22,"1,675",811,864,316,334,347,258,165,138,75,30,12
18,2021,COLORADOS,BARRIO,01. NORTE,53,"5,010","2,416","2,594",864,787,"1,005",759,639,439,293,168,56
19,2021,COLSEGUROS NORTE,BARRIO,01. NORTE,1,"1,563",725,838,230,263,282,215,228,177,111,41,16
20,2021,EL PABLON,BARRIO,01. NORTE,12,545,273,272,81,89,112,91,69,44,25,28,6
21,2021,ROSAL,BARRIO,01. NORTE,17,"1,161",561,600,196,206,222,144,163,110,67,39,14
22,2021,KENNEDY,BARRIO,01. NORTE,39,"5,780","2,741","3,039",736,806,969,868,760,717,501,284,139
23,2021,LAS HAMACAS,BARRIO,01. NORTE,9,899,465,434,147,162,151,166,112,85,47,25,4
24,2021,MARIA PAZ,BARRIO,01. NORTE,36,"4,645","2,255","2,390",827,819,920,730,552,413,212,129,43
25,2021,MINUTO DE DIOS,BARRIO,01. NORTE,7,"1,805",903,902,264,252,342,318,205,230,117,63,14
26,2021,MIRADORES DEL KENNEDY,BARRIO,01. NORTE,5,509,241,268,72,84,107,81,73,57,29,6,0
27,2021,MIRAMAR,BARRIO,01. NORTE,13,749,363,386,91,144,120,114,106,90,45,28,11
28,2021,OLAS ALTAS,BARRIO,01. NORTE,3,387,201,186,46,61,69,62,49,41,29,22,8
29,2021,OLAS BAJAS,BARRIO,01. NORTE,9,"1,185",586,599,164,209,195,155,157,136,85,50,34
30,2021,OMAGA I,BARRIO,01. NORTE,2,262,122,140,35,42,37,39,34,40,22,8,5
31,2021,OMAGA II,BARRIO,01. NORTE,7,782,373,409,131,142,154,114,94,82,28,28,9
32,2021,PAISAJES NORTE,BARRIO,01. NORTE,9,550,263,287,97,129,105,76,75,42,14,9,3
33,2021,ROSALTA,BARRIO,01. NORTE,3,446,211,235,82,97,70,72,55,35,20,9,6
34,2021,SAN VALENTIN,BARRIO,01. NORTE,7,704,345,359,140,126,154,77,83,71,37,12,4
35,2021,TEJAR NORTE,BARRIO,01. NORTE,13,"1,136",557,579,172,168,230,190,136,142,56,27,15
36,2021,TEJARCITO,BARRIO,01. NORTE,3,198,102,96,44,30,37,29,23,11,14,10,0
37,2021,VILLA ALEGRIA I,BARRIO,01. NORTE,3,397,191,206,72,56,96,70,36,39,20,6,2
38,2021,VILLA ALEGRIA II,BARRIO,01. NORTE,7,880,445,435,146,157,203,137,78,92,47,10,10
39,2021,VILLA MARIA I (MEDIA),BARRIO,01. NORTE,1,238,113,125,45,29,59,29,33,15,16,9,3
40,2021,VILLA MARIA II (ALTA),BARRIO,01. NORTE,1,477,237,240,91,72,100,76,55,42,29,8,4
41,2021,VILLA MARIA III (BAJA),BARRIO,01. NORTE,3,198,88,110,56,42,34,32,18,7,5,4,0
42,2021,VILLA ROSA,BARRIO,01. NORTE,48,"7,061","3,478","3,583",997,"1,202","1,158","1,167",868,698,655,248,68
43,2021,VILLAS DE SAN IGNACIO,BARRIO,01. NORTE,123,"16,105","7,954","8,151","2,872","1,913","2,803","2,048","1,400",740,390,156,"3,783"
44,2021,CHITOTA,A. RURAL,02. NORORIENTAL,12,253,134,119,32,51,39,41,43,21,18,6,2
45,2021,GRANJITAS BARRIO NORTE,A. RURAL,02. NORORIENTAL,4,145,63,82,29,35,23,19,16,12,4,5,2
46,2021,LOS CUADROS,A. RURAL,02. NORORIENTAL,2,235,114,121,50,38,41,41,26,28,5,5,1
47,2021,PORTAL DE LOS ANGELES ASOVIPO*,A. URBANO,02. NORORIENTAL,12,664,337,327,111,111,159,125,79,34,26,15,4
48,2021,MIRADOR NORTE,A. URBANO,02. NORORIENTAL,25,"1,320",668,652,274,268,275,217,116,76,55,32,7
49,2021,MONEQUE,A. URBANO,02. NORORIENTAL,1,80,36,44,10,15,13,5,10,10,12,3,2
50,2021,NUEVO HORIZONTE DE LA MANO DE*,A. URBANO,02. NORORIENTAL,15,967,461,506,221,205,188,132,109,64,35,8,5
51,2021,13 DE JUNIO,BARRIO,02. NORORIENTAL,5,410,201,209,65,52,78,62,60,47,34,8,4
52,2021,BOSQUE NORTE,BARRIO,02. NORORIENTAL,17,"1,222",595,627,216,241,216,237,99,97,84,25,7
53,2021,EL PLAN,BARRIO,02. NORORIENTAL,14,664,325,339,99,118,113,111,82,63,45,27,6
54,2021,ESPERANZA I,BARRIO,02. NORORIENTAL,16,928,436,492,140,162,172,143,111,78,64,46,12
55,2021,ESPERANZA II,BARRIO,02. NORORIENTAL,30,"2,252","1,093","1,159",386,371,391,328,288,178,166,117,27
56,2021,ESPERANZA III,BARRIO,02. NORORIENTAL,30,"1,580",799,781,272,272,269,261,190,116,123,58,19
57,2021,LA INDEPENDENCIA,BARRIO,02. NORORIENTAL,37,"4,036","1,978","2,058",667,710,791,552,467,399,253,141,56
58,2021,LA JUVENTUD,BARRIO,02. NORORIENTAL,42,"1,632",786,846,229,266,270,250,211,172,123,71,40
59,2021,LIZCANO I,BARRIO,02. NORORIENTAL,1,126,66,60,15,17,24,16,11,16,12,9,6
60,2021,LIZCANO II,BARRIO,02. NORORIENTAL,2,139,69,70,22,26,23,30,18,6,9,3,2
61,2021,LOS ANGELES,BARRIO,02. NORORIENTAL,17,"1,060",519,541,155,166,172,160,136,114,88,50,19
62,2021,NUEVA COLOMBIA,BARRIO,02. NORORIENTAL,11,480,245,235,95,64,108,82,47,41,28,13,2
63,2021,OLAS II,BARRIO,02. NORORIENTAL,6,888,419,469,142,157,147,156,84,86,68,36,12
64,2021,PUERTO RICO,BARRIO,02. NORORIENTAL,9,654,326,328,96,133,122,113,82,62,24,19,3
65,2021,REGADERO NORTE,BARRIO,02. NORORIENTAL,19,"2,739","1,344","1,395",403,419,492,413,377,302,178,119,36
66,2021,SAN CRISTOBAL,BARRIO,02. NORORIENTAL,23,"1,034",506,528,154,148,176,146,138,119,77,45,31
67,2021,TRANSICION,BARRIO,02. NORORIENTAL,115,"5,502","2,779","2,723",972,969,990,866,641,477,350,174,63
68,2021,VILLA HELENA I,BARRIO,02. NORORIENTAL,25,"1,724",867,857,337,308,308,274,181,124,134,46,12
69,2021,VILLA HELENA II,BARRIO,02. NORORIENTAL,11,936,472,464,145,129,146,147,103,115,90,48,13
70,2021,VILLA MERCEDES,BARRIO,02. NORORIENTAL,14,"1,240",646,594,220,227,235,203,147,92,76,31,9
71,2021,ALARCON,BARRIO,03. SAN FRANCISCO,23,"3,374","1,584","1,790",396,363,604,692,465,412,245,143,54
72,2021,CHAPINERO,BARRIO,03. SAN FRANCISCO,24,"2,804","1,424","1,380",402,351,576,564,343,281,174,94,19
73,2021,COMUNEROS,BARRIO,03. SAN FRANCISCO,54,"11,313","5,457","5,856","1,327","1,650","2,343","1,787","1,449","1,252",819,495,191
74,2021,EL CINAL,BARRIO,03. SAN FRANCISCO,7,417,212,205,64,65,75,72,52,38,28,13,10
75,2021,MODELO,BARRIO,03. SAN FRANCISCO,22,"2,359","1,083","1,276",314,303,437,404,337,261,168,104,31
76,2021,MUTUALIDAD,BARRIO,03. SAN FRANCISCO,26,"4,433","2,134","2,299",451,612,975,651,571,565,325,205,78
77,2021,NORTE BAJO,BARRIO,03. SAN FRANCISCO,14,"1,505",743,762,201,197,273,215,206,184,132,66,31
78,2021,SAN FRANCISCO,BARRIO,03. SAN FRANCISCO,115,"18,317","8,600","9,717","1,954","2,212","3,619","3,197","2,382","2,269","1,592",737,355
79,2021,SAN RAFAEL,BARRIO,03. SAN FRANCISCO,16,"2,158","1,042","1,116",296,325,402,300,284,259,160,86,46
80,2021,UNIVERSIDAD,BARRIO,03. SAN FRANCISCO,38,"5,101","2,396","2,705",425,608,"1,275",784,565,607,465,261,111
81,2021,5 DE ENERO,A. URBANO,04. OCCIDENTAL,10,408,208,200,96,92,61,66,45,25,14,4,5
82,2021,CAMILO TORRES,A. URBANO,04. OCCIDENTAL,9,693,313,380,130,155,138,120,63,50,22,13,2
83,2021,CARLOS PIZARRO,A. URBANO,04. OCCIDENTAL,2,140,71,69,30,33,24,19,16,8,8,1,1
84,2021,GALLINERAL,A. URBANO,04. OCCIDENTAL,3,494,237,257,111,94,79,94,49,32,25,6,4
85,2021,VILLAS DE GIRARDOT,A. URBANO,04. OCCIDENTAL,23,"1,050",512,538,197,238,196,147,127,71,50,18,6
86,2021,CUYANITA,A. URBANO,04. OCCIDENTAL,10,511,268,243,96,123,100,80,44,39,18,9,2
87,2021,MARIA AUXILIADORA,A. URBANO,04. OCCIDENTAL,1,52,26,26,11,4,13,4,5,6,8,0,1
88,2021,MILAGRO DE DIOS,A. URBANO,04. OCCIDENTAL,6,815,412,403,136,172,170,124,98,65,33,12,5
89,2021,PUENTE NARINO,A. URBANO,04. OCCIDENTAL,1,173,85,88,42,38,25,29,15,16,4,3,1
90,2021,DIVINO NINO (CIUDAD PERDIDA),A. URBANO,04. OCCIDENTAL,6,420,211,209,67,86,76,60,64,32,21,13,1
91,2021,RIO DE ORO,A. URBANO,04. OCCIDENTAL,3,"1,000",511,489,262,207,172,160,79,62,38,17,3
92,2021,ZARABANDA,A. URBANO,04. OCCIDENTAL,5,583,282,301,142,102,114,106,52,28,33,4,2
93,2021,23 DE JUNIO,BARRIO,04. OCCIDENTAL,16,"2,050","1,013","1,037",270,287,378,305,239,244,207,80,40
94,2021,DON BOSCO,BARRIO,04. OCCIDENTAL,7,975,490,485,131,140,176,129,133,115,69,57,25
95,2021,GAITAN,BARRIO,04. OCCIDENTAL,51,"5,670","2,845","2,825",730,842,913,814,729,748,468,306,120
96,2021,GIRARDOT,BARRIO,04. OCCIDENTAL,44,"9,222","4,534","4,688","1,310","1,387","1,633","1,566","1,191","1,003",613,362,157
97,2021,GRANADA,BARRIO,04. OCCIDENTAL,66,"1,857",944,913,251,249,366,290,230,201,165,80,25
98,2021,LA FERIA,BARRIO,04. OCCIDENTAL,36,"2,591","1,279","1,312",354,440,486,370,400,324,124,74,19
99,2021,LA GLORIA,BARRIO,04. OCCIDENTAL,10,769,388,381,131,137,141,119,89,65,50,27,10
100,2021,NAPOLES,BARRIO,04. OCCIDENTAL,19,"1,315",679,636,230,237,230,184,180,121,76,37,20
101,2021,NARINO,BARRIO,04. OCCIDENTAL,26,"2,124","1,099","1,025",317,303,411,274,274,221,169,120,35
102,2021,PIO XII,BARRIO,04. OCCIDENTAL,17,"1,585",816,769,271,257,282,251,204,153,110,48,9
103,2021,RIO DE ORO I,BARRIO,04. OCCIDENTAL,18,53,25,28,14,7,10,10,4,4,4,0,0
104,2021,SANTANDER,BARRIO,04. OCCIDENTAL,21,"2,789","1,336","1,453",310,370,441,357,348,450,291,148,74
105,2021,PANTANO SANTANDER,A. URBANO,05. GARCIA ROVIRA,1,66,39,27,9,8,12,8,13,2,8,6,0
106,2021,1 DE MAYO,BARRIO,05. GARCIA ROVIRA,6,"1,025",515,510,159,149,181,167,127,113,68,49,12
107,2021,ALFONSO LOPEZ,BARRIO,05. GARCIA ROVIRA,38,"8,738","4,267","4,471","1,044","1,163","1,686","1,429","1,104","1,103",726,339,144
108,2021,CAMPO HERMOSO,BARRIO,05. GARCIA ROVIRA,63,"12,593","6,031","6,562","1,740","1,843","2,221","1,863","1,698","1,511",938,549,230
109,2021,CHARTA,BARRIO,05. GARCIA ROVIRA,5,508,232,276,91,75,77,87,45,57,46,21,9
110,2021,CHORRERAS DE DON JUAN,BARRIO,05. GARCIA ROVIRA,26,"3,280","1,576","1,704",330,449,543,471,470,452,320,173,72
111,2021,LA ESTRELLA,BARRIO,05. GARCIA ROVIRA,7,"1,096",510,586,139,162,205,158,135,136,85,52,24
112,2021,LA JOYA,BARRIO,05. GARCIA ROVIRA,36,"6,764","3,266","3,498",755,953,"1,060",965,821,"1,013",698,330,169
113,2021,PANTANO II,BARRIO,05. GARCIA ROVIRA,9,659,314,345,112,124,140,73,96,64,24,23,3
114,2021,PANTANO III,BARRIO,05. GARCIA ROVIRA,1,89,51,38,19,8,18,22,9,4,9,0,0
115,2021,QUINTA ESTRELLA,BARRIO,05. GARCIA ROVIRA,38,"2,180","1,075","1,105",279,327,421,341,296,300,139,57,20
116,2021,RINCON DE LA PAZ (17ENE-12FEB),BARRIO,05. GARCIA ROVIRA,21,"1,341",673,668,272,252,266,212,146,105,60,19,9
117,2021,CANDILES,BARRIO,06. LA CONCORDIA,4,"1,476",697,779,190,178,237,231,171,205,130,90,44
118,2021,GOMEZ NINO,BARRIO,06. LA CONCORDIA,11,"1,130",521,609,111,144,201,195,96,179,110,68,26
119,2021,LA CEIBA,BARRIO,06. LA CONCORDIA,23,"3,274","1,533","1,741",346,442,539,547,436,425,282,175,82
120,2021,LA CONCORDIA,BARRIO,06. LA CONCORDIA,77,"9,037","4,177","4,860",958,"1,078","1,644","1,340","1,171","1,247",858,488,253
121,2021,LA SALLE,BARRIO,06. LA CONCORDIA,10,985,441,544,90,103,131,132,140,160,127,59,43
122,2021,LA VICTORIA,BARRIO,06. LA CONCORDIA,37,"6,317","2,925","3,392",638,851,872,877,815,961,654,421,228
123,2021,RICAURTE,BARRIO,06. LA CONCORDIA,25,"3,059","1,470","1,589",336,406,536,559,413,382,220,142,65
124,2021,SAN MIGUEL,BARRIO,06. LA CONCORDIA,24,"4,684","2,205","2,479",538,600,858,654,623,613,438,233,127
125,2021,REAL DE MINAS,BARRIO,07. LA CIUDADELA,126,"30,544","14,071","16,473","2,927","3,891","5,419","4,528","3,980","4,300","3,399","1,598",502
126,2021,EL FONCE,A. URBANO,08. SUR OCCIDENTE,2,77,35,42,20,8,26,10,0,7,5,0,1
127,2021,LA GUACAMAYA,A. URBANO,08. SUR OCCIDENTE,3,311,162,149,59,69,54,63,28,24,9,3,2
128,2021,LAURELES I,A. URBANO,08. SUR OCCIDENTE,6,184,93,91,29,30,40,29,26,11,13,4,2
129,2021,MANZANA 10,A. URBANO,08. SUR OCCIDENTE,14,630,310,320,95,107,120,98,79,63,34,28,6
130,2021,SAN GERARDO I,A. URBANO,08. SUR OCCIDENTE,3,786,383,403,122,118,172,128,103,68,45,18,12
131,2021,SAN GERARDO II,A. URBANO,08. SUR OCCIDENTE,4,"1,016",508,508,117,159,182,127,135,138,80,58,20
132,2021,20 DDE JULIO,BARRIO,08. SUR OCCIDENTE,1,425,194,231,57,78,67,63,60,42,29,25,4
133,2021,AFRICA,BARRIO,08. SUR OCCIDENTE,12,"1,227",607,620,162,185,226,203,171,110,85,74,11
134,2021,ANTIGUA COLOMBIA,BARRIO,08. SUR OCCIDENTE,6,500,253,247,79,75,93,67,67,58,38,13,10
135,2021,BOSCONIA,BARRIO,08. SUR OCCIDENTE,5,194,102,92,21,33,39,16,39,24,9,10,3
136,2021,BUCARAMANGA,BARRIO,08. SUR OCCIDENTE,29,"5,308","2,605","2,703",794,863,914,766,719,605,329,218,100
137,2021,CANELOS,BARRIO,08. SUR OCCIDENTE,22,"2,107",981,"1,126",244,265,352,300,293,251,220,133,49
138,2021,CORDONCILLO I,BARRIO,08. SUR OCCIDENTE,3,379,189,190,55,67,76,52,48,40,16,19,6
139,2021,CORDONCILLO II,BARRIO,08. SUR OCCIDENTE,15,"2,194","1,081","1,113",252,346,425,298,268,298,160,98,49
140,2021,JUAN XXIII,BARRIO,08. SUR OCCIDENTE,12,930,479,451,154,156,182,158,106,85,47,35,7
141,2021,PABLO VI,BARRIO,08. SUR OCCIDENTE,11,"1,896",905,991,276,286,335,263,234,250,118,93,41
142,2021,QUEBRADA LA IGLESIA II,BARRIO,08. SUR OCCIDENTE,2,0,0,0,0,0,0,0,0,0,0,0,0
143,2021,SAN GERARDO,BARRIO,08. SUR OCCIDENTE,4,624,317,307,81,86,111,106,80,69,41,37,13
144,2021,ANTONIA SANTOS SUR,BARRIO,09. LA PEDREGOSA,7,803,382,421,72,83,141,101,93,131,105,49,28
145,2021,ASTURIAS,BARRIO,09. LA PEDREGOSA,9,"1,065",486,579,101,114,161,171,151,145,128,71,23
146,2021,DIAMANTE I,BARRIO,09. LA PEDREGOSA,9,"1,689",805,884,150,232,269,233,244,223,151,128,59
147,2021,LA LIBERTAD,BARRIO,09. LA PEDREGOSA,7,712,358,354,59,97,129,79,93,118,75,41,21
148,2021,LA PEDREGOSA,BARRIO,09. LA PEDREGOSA,4,613,308,305,75,96,106,86,87,79,56,19,9
149,2021,LAS CASITAS,BARRIO,09. LA PEDREGOSA,4,265,133,132,41,36,53,29,35,29,18,18,6
150,2021,NUEVA GRANADA,BARRIO,09. LA PEDREGOSA,8,838,397,441,90,115,143,101,126,121,68,44,30
151,2021,PORTO FINO,BARRIO,09. LA PEDREGOSA,6,582,266,316,72,59,112,104,84,53,64,22,12
152,2021,QUEBRADA LA IGLESIA,BARRIO,09. LA PEDREGOSA,17,"1,515",745,770,197,235,267,252,211,160,115,58,20
153,2021,SAN MARTIN,BARRIO,09. LA PEDREGOSA,23,"3,901","1,960","1,941",530,564,785,731,485,416,223,116,51
154,2021,SAN PEDRO CLAVER,BARRIO,09. LA PEDREGOSA,14,970,496,474,132,147,202,132,122,116,55,46,18
155,2021,VILLA DIAMANTE,BARRIO,09. LA PEDREGOSA,6,"1,987",924,"1,063",170,251,320,272,253,303,233,132,53
156,2021,VILLA INES,BARRIO,09. LA PEDREGOSA,15,"1,573",707,866,177,224,243,252,210,198,149,85,35
157,2021,PORVENIR,A. RURAL,10. PROVENZA,21,"1,228",623,605,214,239,237,228,142,93,50,21,4
158,2021,LUZ DE SALVACION I,A. URBANO,10. PROVENZA,34,"2,239","1,149","1,090",440,404,464,361,268,173,84,30,15
159,2021,BRISAS DE PROVENZA,BARRIO,10. PROVENZA,25,"2,083","1,020","1,063",408,368,466,319,268,148,59,37,10
160,2021,EL CRISTAL,BARRIO,10. PROVENZA,18,"1,911",919,992,299,352,348,317,213,213,106,45,18
161,2021,CRISTAL BAJO,BARRIO,10. PROVENZA,36,"2,445","1,208","1,237",463,411,506,388,260,242,101,58,16
162,2021,DIAMANTE II,BARRIO,10. PROVENZA,60,"10,715","4,897","5,818",992,"1,175","1,524","1,556","1,441","1,464","1,247",905,411
163,2021,EL PORVENIR,BARRIO,10. PROVENZA,62,"8,059","3,896","4,163","1,078","1,062","1,556","1,240","1,112",983,629,317,82
164,2021,FONTANA,BARRIO,10. PROVENZA,27,"4,205","1,925","2,280",461,579,549,711,555,565,435,270,80
165,2021,GRANJAS DE PROVENZA,BARRIO,10. PROVENZA,34,"4,734","2,299","2,435",761,646,903,"1,022",590,426,229,120,37
166,2021,NUEVA FONTANA,BARRIO,10. PROVENZA,6,564,244,320,47,72,85,79,83,95,67,30,6
167,2021,PROVENZA,BARRIO,10. PROVENZA,93,"15,576","7,211","8,365","1,545","1,745","2,383","2,442","1,976","2,050","1,846","1,138",451
168,2021,SAN LUIS,BARRIO,10. PROVENZA,23,"2,160",967,"1,193",184,237,326,296,307,297,304,150,59
169,2021,VIVEROS DE PROVENZA,BARRIO,10. PROVENZA,11,"1,009",491,518,155,156,259,161,128,99,31,14,6
